-0.063612,-0.0419626,-0.00612403,-0.0419626,-0.0764234,-0.10369,-0.0865878,0
-0.0334864,0.0,0.0436517,0.0,-0.10369,0.0,0.287372,0.325574
0.00352948,0.0412595,0.0913812,0.13459,0.0,0.283179,0.364176,0.417234
0.0409701,0.0871078,0.146604,0.200351,0.278064,0.0,0.459916,0.523482
0.0825598,0.0,0.209351,0.0,0.368065,0.462418,0.557514,0.645801
0.135693,0.0,0.280094,0.361894,0.445539,0.548782,0.677464,0.788198
0.196206,0.26878,0.340981,0.428179,0.525442,0.0,0.815466,0.953178
0.227469,0.323147,0.416491,0.525442,0.652245,0.800351,0.953178,0
-0.0618911,-0.0414889,-0.00558456,-0.0414889,-0.0760127,-0.103328,-0.0863,0
-0.0313707,0.0,0.0442826,0.0,-0.103328,0.0,0.287372,0.325574
0.00593888,0.0485953,0.0920996,0.134668,0.0,0.283179,0.364176,0.417234
0.041929,0.0878895,0.146675,0.200359,0.278065,0.0,0.459916,0.523482
0.083674,0.0,0.209351,0.0,0.368065,0.462418,0.557514,0.645801
0.136962,0.0,0.280094,0.361894,0.445539,0.548782,0.677464,0.788198
0.197651,0.26878,0.340981,0.428179,0.525442,0.0,0.815466,0.953178
0.242257,0.323147,0.416491,0.525442,0.652245,0.800351,0.953178,0
